序号,文件,项目名称,项目地址,城市,经度,纬度,定位方式
1,parking_lots_monthly.json,108号创业园,宝丽路108号园区,深圳市,114.108244,22.595605,地址搜索
3,parking_lots_monthly.json,1980文化创意产业园停车场,民治街道1980文化创意产业园,深圳市,114.034095,22.624585,地址搜索
16,parking_lots_monthly.json,万海物流园停车场,宝安区创业路15号,深圳市,113.970215,22.703353,地址搜索
18,parking_lots_monthly.json,万盛居商业中心,新湖路与新安六路交叉口西北120米,深圳市,113.87478,22.565195,地址搜索
21,parking_lots_monthly.json,万科云城二期D区（东里）,打石一路,深圳市,113.940161,22.572529,地址搜索
22,parking_lots_monthly.json,万科云城二期（设计公社）,万科云城二期,深圳市,113.941151,22.573685,地址搜索
23,parking_lots_monthly.json,万科和颂轩停车场,民治大道与梅观路西北侧,深圳市,114.047544,22.605574,地址搜索
33,parking_lots_monthly.json,三好云酒店停车场,观湖街道松元社区旭玫新村大布新村,深圳市,114.06472,22.7201,地址搜索
35,parking_lots_monthly.json,三联村停车场,吉华街道三联村,深圳市,114.115804,22.626592,地址搜索
47,parking_lots_monthly.json,上雪科技园停车场,吉华街道上雪科技园,深圳市,114.089205,22.640774,地址搜索
52,parking_lots_monthly.json,世茂广场地面停车场,东环一路世贸广场327号,深圳市,114.048405,22.548228,地址搜索
54,parking_lots_monthly.json,东华明珠园商场,东环一路,深圳市,114.042412,22.643742,地址搜索
73,parking_lots_monthly.json,中信工业园,福海街道征程一路12号中信工业城,深圳市,113.828347,22.68682,地址搜索
82,parking_lots_monthly.json,中广浩停车场,工业大道与富正路交叉口东120米,深圳市,114.108291,22.686924,地址搜索
99,parking_lots_monthly.json,中科众创产业园停车场,松白路2026-2号,深圳市,113.928352,22.63893,地址搜索
102,parking_lots_monthly.json,中粮大厦停车场,新安街道龙井二路 3 号,深圳市,113.908658,22.5569,地址搜索
109,parking_lots_monthly.json,丰盛懿园,福水路3号,深圳市,114.031902,22.719553,地址搜索
110,parking_lots_monthly.json,丰达工业园,丰达路5号-201,深圳市,114.076154,22.713254,地址搜索
113,parking_lots_monthly.json,丽雅查尔顿酒店停车场,高新南四道13号丽雅查尔顿酒店,深圳市,113.949177,22.535811,地址搜索
130,parking_lots_monthly.json,五方广场内部停车场,新沙路593号五方广场,深圳市,113.810881,22.732147,地址搜索
142,parking_lots_monthly.json,仙岭公馆,碧园路与碧新路交叉口东80米,深圳市,114.270236,22.711817,地址搜索
145,parking_lots_monthly.json,企生活牛湖智能园停车场,观澜街道企生活.牛湖智能园,深圳市,114.095276,22.724098,地址搜索
153,parking_lots_monthly.json,佳利工业园,福城街道佳利工业园盛景源工业园,深圳市,114.03225,22.716243,地址搜索
171,parking_lots_monthly.json,光明天安云谷大厦,广东省深圳市光明区圳美社区圳美大道255号,深圳市,113.962506,22.791217,地址搜索
173,parking_lots_monthly.json,光明群众体育中心停车场,光侨路3115号光明区群众体育中心,深圳市,113.948485,22.74895,地址搜索
177,parking_lots_monthly.json,光速电壹号超充站停车场,吉政路58号,深圳市,114.123311,22.610667,地址搜索
184,parking_lots_monthly.json,八卦岭四区停车场,八卦六路与八卦四路交叉口东150米,深圳市,114.09673,22.563547,地址搜索
189,parking_lots_monthly.json,六约埔夏村停车场,横岗街道埔夏街81号嘉誉业智创绿谷,深圳市,114.18495,22.643114,地址搜索
197,parking_lots_monthly.json,共和工业区停车场,沙井街道天泽成综合大厦共和八区北方永发科技园,深圳市,113.80292,22.762654,地址搜索
208,parking_lots_monthly.json,凤岗人力资源服务中心,排沙围商住小区,深圳市,113.838933,22.772418,地址搜索
211,parking_lots_monthly.json,凤岗国安居停车场,世城商业中心国安居,深圳市,113.903284,22.580732,地址搜索
212,parking_lots_monthly.json,凤岗天安数码城T5,天安数码城,深圳市,114.216957,22.72084,地址搜索
241,parking_lots_monthly.json,千里马超充站停车场,龙岗区五联路60号,深圳市,114.239777,22.747319,地址搜索
244,parking_lots_monthly.json,华丰互联网创意园,中央大道D座,深圳市,113.860477,22.57324,地址搜索
247,parking_lots_monthly.json,华丰国际机器人产业园二期,广东省深圳市宝安区宝安大道4832号,深圳市,113.846494,22.602919,地址搜索
252,parking_lots_monthly.json,华丰新能源科技产业大楼,华丰新能源科技产业大楼,深圳市,113.864373,22.562155,地址搜索
257,parking_lots_monthly.json,华丰高新产业园停车场,华丰高新产业园停车场,深圳市,113.865166,22.752482,地址搜索
261,parking_lots_monthly.json,华侨城LOFT C区停车场（创意文化园北区）,香山东街11号华侨城创意文化园南山特色文化街区北区C2地面停车场,深圳市,113.991227,22.540553,地址搜索
262,parking_lots_monthly.json,华侨城LOFT二期停车场,沙河街道华侨城创意文化园北区B区(北门)华侨城创意文化园南山特色文化街区北区,深圳市,113.993102,22.539799,地址搜索
268,parking_lots_monthly.json,华大科技宿舍楼停车场（星程酒店）,宝龙七路2号,深圳市,114.310234,22.68768,地址搜索
270,parking_lots_monthly.json,华强城市广场,福海街道许府牛火锅(宝安华强广场店)宝安华强广场,深圳市,113.815927,22.700167,地址搜索
272,parking_lots_monthly.json,华强金融大厦停车场,前海桂湾三路与梦海大道交汇处华强金融大厦项目,深圳市,113.900414,22.535779,地址搜索
274,parking_lots_monthly.json,华海金融中心,华润金融中心,深圳市,114.055761,22.533981,地址搜索
277,parking_lots_monthly.json,华美居商业停车场,锦岗街116号,深圳市,113.823799,22.735119,地址搜索
289,parking_lots_monthly.json,南头商业城停车场,南头街道兰丽花园南头仿古商业城地面停车场,深圳市,113.923039,22.542047,地址搜索
292,parking_lots_monthly.json,南山智园一期,桃源街道南山智园一期ABC区,深圳市,114.00476,22.594186,地址搜索
293,parking_lots_monthly.json,南山智园二期（D区）,留仙大道与学苑大道交汇处,深圳市,114.008483,22.596729,地址搜索
295,parking_lots_monthly.json,南岸社区,松岗街道南岸新区三巷百福楼,深圳市,113.83912,22.756953,地址搜索
300,parking_lots_monthly.json,南油生活B区,深圳市南山区粤海街道南油生活B区27栋,深圳市,113.929756,22.509521,地址搜索
311,parking_lots_monthly.json,卡尔丹顿时尚产业园,大浪时尚小镇浪静路3号,深圳市,113.988962,22.69648,地址搜索
328,parking_lots_monthly.json,向前科技产业园停车场,龙岗街道向前科技小镇,深圳市,114.25653,22.712282,地址搜索
